"","V1","V2","V3"
"181","V",1088,"1"
"182","V",1017,"1"
"183","V",1018,"1"
"184","V",1014,"1"
"185","V",1000,"1"
"186","V",1089,"1"
"187","V",1001,"1"
"188","C",10133,"10133"
"189","V",1017,"1"
"190","V",1018,"1"
"191","V",1035,"1"
"192","V",1037,"1"
"193","V",1090,"1"
"194","V",1009,"1"
"195","V",1001,"1"
"196","V",1032,"1"
"197","C",10134,"10134"
"198","V",1010,"1"
"199","V",1025,"1"
"200","V",1020,"1"
"201","V",1026,"1"
"202","V",1041,"1"
"203","V",1004,"1"
"204","C",10141,"10141"
"205","V",1000,"1"
"206","V",1025,"1"
"207","V",1022,"1"
"208","V",1046,"1"
"209","V",1040,"1"
"210","V",1039,"1"
"211","V",1026,"1"
"212","V",1049,"1"
"213","V",1034,"1"
"214","V",1002,"1"
"215","V",1018,"1"
"216","C",10147,"10147"
"217","V",1008,"1"
"218","V",1025,"1"
"219","V",1026,"1"
"220","V",1063,"1"
"221","V",1041,"1"
"222","V",1034,"1"
"223","C",10152,"10152"
"224","V",1035,"1"
"225","V",1020,"1"
"226","V",1003,"1"
"227","V",1001,"1"
"228","V",1078,"1"
"229","V",1018,"1"
"230","C",10156,"10156"
"231","V",1017,"1"
"232","V",1018,"1"
"233","V",1021,"1"
"234","V",1019,"1"
"235","V",1057,"1"
"236","V",1010,"1"
"237","V",1093,"1"
"238","V",1094,"1"
"239","V",1011,"1"
"240","V",1095,"1"
"241","V",1026,"1"
"242","V",1068,"1"
"243","V",1041,"1"
"244","V",1032,"1"
"245","V",1096,"1"
"246","V",1042,"1"
"247","V",1097,"1"
"248","C",10162,"10162"
"249","V",1017,"1"
"250","V",1008,"1"
"251","V",1000,"1"
"252","V",1036,"1"
"253","V",1040,"1"
"254","V",1052,"1"
"255","V",1031,"1"
"256","V",1003,"1"
"257","C",10166,"10166"
"258","V",1000,"1"
"259","V",1008,"1"
"260","V",1027,"1"
"261","V",1009,"1"
"262","V",1024,"1"
"263","V",1041,"1"
"264","V",1101,"1"
"265","V",1072,"1"
"266","C",10185,"10185"
"267","V",1035,"1"
"268","V",1030,"1"
"269","V",1037,"1"
"270","V",1055,"1"
"271","V",1009,"1"
"272","V",1017,"1"
"273","V",1004,"1"
"274","C",10186,"10186"
"275","V",1077,"1"
"276","V",1017,"1"
"277","V",1031,"1"
"278","V",1040,"1"
"279","V",1001,"1"
"280","V",1003,"1"
"281","C",10190,"10190"
"282","V",1035,"1"
"283","V",1008,"1"
"284","V",1076,"1"
"285","V",1017,"1"
"286","V",1003,"1"
"287","V",1018,"1"
"288","V",1034,"1"
"289","C",10196,"10196"
"290","V",1017,"1"
"291","V",1004,"1"
"292","V",1036,"1"
"293","V",1008,"1"
"294","V",1037,"1"
"295","V",1009,"1"
"296","V",1052,"1"
"297","V",1032,"1"
"298","C",10197,"10197"
"299","V",1008,"1"
"300","V",1011,"1"
"301","V",1040,"1"
"302","V",1017,"1"
"303","V",1061,"1"
"304","V",1014,"1"
"305","V",1004,"1"
"306","V",1021,"1"
"307","V",1105,"1"
"308","C",10198,"10198"
"309","V",1008,"1"
"310","V",1106,"1"
"311","V",1107,"1"
"312","V",1009,"1"
"313","V",1003,"1"
"314","V",1018,"1"
"315","C",10205,"10205"
"316","V",1108,"1"
"317","V",1295,"1"
"318","V",1054,"1"
"319","V",1109,"1"
"320","V",1100,"1"
"321","V",1017,"1"
"322","V",1088,"1"
"323","V",1004,"1"
"324","C",10208,"10208"
"325","V",1074,"1"
"326","V",1110,"1"
"327","V",1295,"1"
"328","V",1009,"1"
"329","V",1031,"1"
"330","V",1032,"1"
"331","V",1034,"1"
"332","V",1111,"1"
"333","V",1017,"1"
"334","V",1092,"1"
"335","V",1018,"1"
"336","V",1004,"1"
"337","V",1021,"1"
"338","V",1008,"1"
"339","V",1010,"1"
"340","V",1112,"1"
"341","V",1053,"1"
"342","V",1002,"1"
"343","C",10216,"10216"
"344","V",1017,"1"
"345","V",1076,"1"
"346","V",1114,"1"
"347","V",1018,"1"
"348","V",1074,"1"
"349","V",1008,"1"
"350","V",1115,"1"
"351","V",1001,"1"
"352","V",1003,"1"
"353","C",10218,"10218"
"354","V",1017,"1"
"355","V",1004,"1"
"356","V",1014,"1"
"357","V",1000,"1"
"358","V",1008,"1"
"359","V",1052,"1"
"360","V",1040,"1"
"361","V",1031,"1"
"362","V",1001,"1"
"363","C",10219,"10219"
"364","V",1008,"1"
"365","V",1027,"1"
"366","V",1009,"1"
"367","V",1026,"1"
"368","V",1018,"1"
"369","V",1034,"1"
"370","C",10224,"10224"
"371","V",1045,"1"
"372","V",1046,"1"
"373","V",1049,"1"
"374","V",1041,"1"
"375","V",1003,"1"
"376","V",1018,"1"
"377","C",10241,"10241"
"378","V",1120,"1"
"379","V",1017,"1"
"380","V",1008,"1"
"381","V",1112,"1"
"382","V",1031,"1"
"383","V",1121,"1"
"384","V",1060,"1"
"385","V",1032,"1"
"386","V",1002,"1"
"387","C",10244,"10244"
"388","V",1008,"1"
"389","V",1058,"1"
"390","V",1076,"1"
"391","V",1003,"1"
"392","V",1001,"1"
"393","V",1078,"1"
"394","V",1018,"1"
"395","V",1034,"1"
"396","C",10252,"10252"
"397","V",1008,"1"
"398","V",1027,"1"
"399","V",1038,"1"
"400","V",1026,"1"
"401","V",1017,"1"
"402","V",1003,"1"
"403","V",1041,"1"
"404","V",1068,"1"
"405","V",1024,"1"
"406","V",1078,"1"
"407","V",1034,"1"
"408","V",1004,"1"
"409","C",10269,"10269"
"410","V",1025,"1"
"411","V",1070,"1"
"412","V",1017,"1"
"413","V",1067,"1"
"414","V",1125,"1"
"415","V",1038,"1"
"416","V",1026,"1"
"417","V",1041,"1"
"418","C",10272,"10272"
"419","V",1017,"1"
"420","V",1004,"1"
"421","V",1008,"1"
"422","V",1037,"1"
"423","V",1126,"1"
"424","V",1055,"1"
"425","V",1009,"1"
"426","V",1061,"1"
"427","V",1032,"1"
"428","V",1034,"1"
"429","C",10281,"10281"
"430","V",1035,"1"
"431","V",1037,"1"
"432","V",1009,"1"
"433","V",1001,"1"
"434","V",1003,"1"
"435","V",1004,"1"
"436","V",1018,"1"
"437","C",10284,"10284"
"438","V",1008,"1"
"439","V",1035,"1"
"440","V",1080,"1"
"441","V",1003,"1"
"442","V",1001,"1"
"443","V",1018,"1"
"444","C",10286,"10286"
"445","V",1118,"1"
"446","V",1025,"1"
"447","V",1127,"1"
"448","V",1070,"1"
"449","V",1114,"1"
"450","V",1128,"1"
"451","V",1004,"1"
"452","C",10290,"10290"
"453","V",1065,"1"
"454","V",1054,"1"
"455","V",1129,"1"
"456","V",1024,"1"
"457","V",1072,"1"
"458","V",1008,"1"
"459","V",1038,"1"
"460","V",1026,"1"
"461","V",1034,"1"
"462","V",1042,"1"
"463","V",1053,"1"
"464","C",10301,"10301"
"465","V",1008,"1"
"466","V",1009,"1"
"467","V",1040,"1"
"468","V",1052,"1"
"469","V",1041,"1"
"470","V",1018,"1"
"471","C",10303,"10303"
"472","V",1008,"1"
"473","V",1017,"1"
"474","V",1032,"1"
"475","V",1024,"1"
"476","V",1004,"1"
"477","V",1018,"1"
"478","V",1034,"1"
"479","V",1043,"1"
"480","C",10306,"10306"
"481","V",1130,"1"
"482","V",1017,"1"
"483","V",1018,"1"
"484","V",1035,"1"
"485","V",1037,"1"
"486","V",1009,"1"
"487","V",1001,"1"
"488","V",1003,"1"
"489","C",10309,"10309"
"490","V",1119,"1"
"491","V",1081,"1"
"492","V",1017,"1"
"493","V",1014,"1"
"494","V",1089,"1"
"495","V",1011,"1"
"496","V",1040,"1"
"497","V",1031,"1"
"498","V",1034,"1"
"499","C",10319,"10319"
"500","V",1133,"1"
"501","V",1125,"1"
"502","V",1026,"1"
"503","V",1041,"1"
"504","V",1001,"1"
"505","V",1067,"1"
"506","V",1034,"1"
"507","C",10321,"10321"
"508","V",1017,"1"
"509","V",1031,"1"
"510","V",1040,"1"
"511","V",1006,"1"
"512","V",1034,"1"
"513","V",1018,"1"
"514","C",10327,"10327"
"515","V",1058,"1"
"516","V",1004,"1"
"517","V",1018,"1"
"518","V",1008,"1"
"519","V",1035,"1"
"520","V",1055,"1"
"521","V",1009,"1"
"522","V",1003,"1"
"523","V",1001,"1"
"524","C",10335,"10335"
"525","V",1020,"1"
"526","V",1123,"1"
"527","V",1027,"1"
"528","V",1038,"1"
"529","V",1009,"1"
"530","V",1026,"1"
"531","V",1041,"1"
"532","V",1134,"1"
"533","V",1042,"1"
"534","V",1091,"1"
"535","C",10341,"10341"
"536","V",1008,"1"
"537","V",1015,"1"
"538","V",1031,"1"
"539","V",1017,"1"
"540","V",1034,"1"
"541","V",1004,"1"
"542","C",10348,"10348"
"543","V",1065,"1"
"544","V",1054,"1"
"545","V",1074,"1"
"546","V",1036,"1"
"547","V",1136,"1"
"548","V",1009,"1"
"549","V",1040,"1"
"550","V",1042,"1"
"551","V",1034,"1"
"552","V",1025,"1"
"553","V",1130,"1"
"554","V",1137,"1"
"555","V",1017,"1"
"556","V",1076,"1"
"557","V",1092,"1"
"558","V",1004,"1"
"559","V",1014,"1"
"560","V",1021,"1"
"561","V",1000,"1"
"562","V",1113,"1"
"563","V",1008,"1"
"564","V",1030,"1"
"565","V",1037,"1"
"566","V",1038,"1"
"567","V",1089,"1"
"568","V",1026,"1"
"569","V",1041,"1"
"570","V",1053,"1"
"571","C",10362,"10362"
"572","V",1008,"1"
"573","V",1045,"1"
"574","V",1139,"1"
"575","V",1103,"1"
"576","V",1034,"1"
"577","V",1071,"1"
"578","C",10365,"10365"
"579","V",1020,"1"
"580","V",1123,"1"
"581","V",1088,"1"
"582","V",1001,"1"
"583","V",1078,"1"
"584","V",1004,"1"
"585","C",10375,"10375"
"586","V",1064,"1"
"587","V",1004,"1"
"588","V",1072,"1"
"589","V",1008,"1"
"590","V",1136,"1"
"591","V",1027,"1"
"592","V",1009,"1"
"593","V",1026,"1"
"594","V",1041,"1"
"595","V",1034,"1"
"596","C",10381,"10381"
"597","V",1125,"1"
"598","V",1026,"1"
"599","V",1143,"1"
"600","V",1063,"1"
"601","V",1001,"1"
"602","V",1041,"1"
"603","V",1004,"1"
"604","V",1067,"1"
"605","C",10387,"10387"
"606","V",1046,"1"
"607","V",1032,"1"
"608","V",1001,"1"
"609","V",1034,"1"
"610","V",1018,"1"
"611","V",1044,"1"
"612","C",10389,"10389"
"613","V",1058,"1"
"614","V",1017,"1"
"615","V",1013,"1"
"616","V",1018,"1"
"617","V",1035,"1"
"618","V",1010,"1"
"619","V",1037,"1"
"620","V",1009,"1"
"621","C",10408,"10408"
"622","V",1035,"1"
"623","V",1036,"1"
"624","V",1037,"1"
"625","V",1009,"1"
"626","V",1001,"1"
"627","V",1034,"1"
"628","C",10409,"10409"
"629","V",1000,"1"
"630","V",1081,"1"
"631","V",1011,"1"
"632","V",1017,"1"
"633","V",1040,"1"
"634","V",1001,"1"
"635","V",1002,"1"
"636","C",10414,"10414"
"637","V",1035,"1"
"638","V",1085,"1"
"639","V",1008,"1"
"640","V",1001,"1"
"641","V",1018,"1"
"642","V",1034,"1"
"643","C",10433,"10433"
"644","V",1008,"1"
"645","V",1009,"1"
"646","V",1058,"1"
"647","V",1017,"1"
"648","V",1001,"1"
"649","V",1002,"1"
"650","C",10434,"10434"
"651","V",1024,"1"
"652","V",1004,"1"
"653","V",1008,"1"
"654","V",1046,"1"
"655","V",1038,"1"
"656","V",1039,"1"
"657","V",1026,"1"
"658","V",1034,"1"
"659","C",10446,"10446"
"660","V",1008,"1"
"661","V",1127,"1"
"662","V",1020,"1"
"663","V",1017,"1"
"664","V",1004,"1"
"665","V",1034,"1"
"666","V",1071,"1"
"667","C",10452,"10452"
"668","V",1085,"1"
"669","V",1035,"1"
"670","V",1008,"1"
"671","V",1009,"1"
"672","V",1046,"1"
"673","V",1001,"1"
"674","C",10454,"10454"
"675","V",1085,"1"
"676","V",1087,"1"
"677","V",1054,"1"
"678","V",1036,"1"
"679","V",1011,"1"
"680","V",1040,"1"
"681","V",1039,"1"
"682","V",1088,"1"
"683","V",1003,"1"
"684","V",1034,"1"
"685","V",1118,"1"
"686","V",1130,"1"
"687","V",1020,"1"
"688","V",1058,"1"
"689","V",1017,"1"
"690","V",1018,"1"
"691","V",1014,"1"
"692","V",1000,"1"
"693","V",1030,"1"
"694","V",1089,"1"
"695","V",1134,"1"
"696","V",1001,"1"
"697","C",10457,"10457"
"698","V",1000,"1"
"699","V",1008,"1"
"700","V",1016,"1"
"701","V",1009,"1"
"702","V",1011,"1"
"703","V",1014,"1"
"704","V",1004,"1"
"705","C",10459,"10459"
"706","V",1065,"1"
"707","V",1026,"1"
"708","V",1017,"1"
"709","V",1092,"1"
"710","V",1042,"1"
"711","V",1021,"1"
"712","C",10462,"10462"
"713","V",1025,"1"
"714","V",1070,"1"
"715","V",1017,"1"
"716","V",1024,"1"
"717","V",1067,"1"
"718","V",1004,"1"
"719","V",1008,"1"
"720","V",1030,"1"
"721","V",1009,"1"
"722","V",1038,"1"
"723","V",1026,"1"
"724","V",1041,"1"
"725","C",10466,"10466"
"726","V",1037,"1"
"727","V",1065,"1"
"728","V",1009,"1"
"729","V",1026,"1"
"730","V",1017,"1"
"731","V",1053,"1"
"732","V",1004,"1"
"733","C",10471,"10471"
"734","V",1081,"1"
"735","V",1082,"1"
"736","V",1063,"1"
"737","V",1014,"1"
"738","V",1004,"1"
"739","V",1149,"1"
"740","V",1000,"1"
"741","V",1038,"1"
"742","V",1011,"1"
"743","V",1026,"1"
"744","V",1012,"1"
"745","V",1040,"1"
"746","V",1003,"1"
"747","V",1041,"1"
"748","C",10473,"10473"
"749","V",1010,"1"
"750","V",1008,"1"
"751","V",1046,"1"
"752","V",1150,"1"
"753","V",1001,"1"
"754","V",1034,"1"
"755","V",1018,"1"
"756","C",10479,"10479"
"757","V",1076,"1"
"758","V",1017,"1"
"759","V",1018,"1"
"760","V",1078,"1"
"761","V",1074,"1"
"762","V",1008,"1"
"763","V",1030,"1"
"764","V",1052,"1"
"765","V",1003,"1"
"766","V",1001,"1"
"767","C",10500,"10500"
"768","V",1008,"1"
"769","V",1027,"1"
"770","V",1007,"1"
"771","V",1070,"1"
"772","V",1041,"1"
"773","V",1097,"1"
"774","V",1153,"1"
"775","C",10504,"10504"
"776","V",1008,"1"
"777","V",1025,"1"
"778","V",1106,"1"
"779","V",1009,"1"
"780","V",1007,"1"
"781","V",1026,"1"
"782","V",1001,"1"
"783","C",10506,"10506"
"784","V",1008,"1"
"785","V",1017,"1"
"786","V",1048,"1"
"787","V",1018,"1"
"788","V",1057,"1"
"789","V",1019,"1"
"790","C",10522,"10522"
"791","V",1130,"1"
"792","V",1017,"1"
"793","V",1018,"1"
"794","V",1008,"1"
"795","V",1035,"1"
"796","V",1009,"1"
"797","V",1121,"1"
"798","V",1001,"1"
"799","C",10523,"10523"
"800","V",1045,"1"
"801","V",1059,"1"
"802","V",1004,"1"
"803","V",1008,"1"
"804","V",1035,"1"
"805","V",1009,"1"
"806","V",1038,"1"
"807","V",1026,"1"
"808","V",1001,"1"
"809","V",1003,"1"
"810","V",1034,"1"
"811","C",10560,"10560"
"812","V",1008,"1"
"813","V",1035,"1"
"814","V",1046,"1"
"815","V",1009,"1"
"816","V",1059,"1"
"817","V",1003,"1"
"818","V",1001,"1"
"819","V",1034,"1"
"820","V",1018,"1"
"821","V",1078,"1"
"822","C",10564,"10564"
"823","V",1017,"1"
"824","V",1014,"1"
"825","V",1154,"1"
"826","V",1008,"1"
"827","V",1000,"1"
"828","V",1009,"1"
"829","V",1026,"1"
"830","V",1031,"1"
"831","V",1040,"1"
"832","V",1003,"1"
"833","V",1088,"1"
"834","C",10572,"10572"
"835","V",1017,"1"
"836","V",1004,"1"
"837","V",1018,"1"
"838","V",1008,"1"
"839","V",1036,"1"
"840","V",1035,"1"
"841","V",1037,"1"
"842","V",1027,"1"
"843","V",1009,"1"
"844","V",1026,"1"
"845","V",1041,"1"
"846","V",1034,"1"
"847","C",10573,"10573"
"848","V",1016,"1"
"849","V",1051,"1"
"850","V",1017,"1"
"851","V",1014,"1"
"852","V",1008,"1"
"853","V",1040,"1"
"854","V",1031,"1"
"855","V",1001,"1"
"856","V",1003,"1"
"857","C",10597,"10597"
"858","V",1010,"1"
"859","V",1064,"1"
"860","V",1125,"1"
"861","V",1026,"1"
"862","V",1017,"1"
"863","V",1034,"1"
"864","C",10598,"10598"
"865","V",1020,"1"
"866","V",1027,"1"
"867","V",1059,"1"
"868","V",1041,"1"
"869","V",1053,"1"
"870","V",1021,"1"
"871","C",10607,"10607"
"872","V",1025,"1"
"873","V",1020,"1"
"874","V",1065,"1"
"875","V",1124,"1"
"876","V",1017,"1"
"877","V",1066,"1"
"878","V",1004,"1"
"879","V",1030,"1"
"880","V",1001,"1"
"881","V",1003,"1"
"882","V",1041,"1"
"883","V",1053,"1"
"884","V",1075,"1"
"885","C",10635,"10635"
"886","V",1008,"1"
"887","V",1020,"1"
"888","V",1157,"1"
"889","V",1026,"1"
"890","V",1041,"1"
"891","V",1003,"1"
"892","V",1018,"1"
"893","V",1004,"1"
"894","C",10639,"10639"
"895","V",1119,"1"
"896","V",1008,"1"
"897","V",1070,"1"
"898","V",1006,"1"
"899","V",1041,"1"
"900","V",1034,"1"
"901","C",10648,"10648"
"902","V",1046,"1"
"903","V",1076,"1"
"904","V",1001,"1"
"905","V",1003,"1"
"906","V",1018,"1"
"907","V",1004,"1"
"908","C",10649,"10649"
"909","V",1008,"1"
"910","V",1125,"1"
"911","V",1009,"1"
"912","V",1017,"1"
"913","V",1034,"1"
"914","V",1067,"1"
"915","C",10653,"10653"
"916","V",1008,"1"
"917","V",1036,"1"
"918","V",1037,"1"
"919","V",1009,"1"
"920","V",1032,"1"
"921","V",1061,"1"
"922","C",10659,"10659"
"923","V",1036,"1"
"924","V",1008,"1"
"925","V",1052,"1"
"926","V",1060,"1"
"927","V",1041,"1"
"928","V",1067,"1"
"929","V",1004,"1"
"930","V",1018,"1"
"931","C",10660,"10660"
"932","V",1081,"1"
"933","V",1020,"1"
"934","V",1049,"1"
"935","V",1017,"1"
"936","V",1114,"1"
"937","V",1004,"1"
"938","V",1112,"1"
"939","V",1136,"1"
"940","V",1003,"1"
"941","V",1001,"1"
"942","V",1083,"1"
"943","C",10662,"10662"
"944","V",1130,"1"
"945","V",1024,"1"
"946","V",1018,"1"
"947","V",1008,"1"
"948","V",1036,"1"
"949","V",1009,"1"
"950","V",1295,"1"
"951","V",1001,"1"
"952","C",10668,"10668"
"953","V",1010,"1"
"954","V",1008,"1"
"955","V",1036,"1"
"956","V",1081,"1"
"957","V",1020,"1"
"958","V",1040,"1"
"959","V",1004,"1"
"960","C",10669,"10669"
"961","V",1008,"1"
"962","V",1009,"1"
"963","V",1160,"1"
"964","V",1001,"1"
"965","V",1032,"1"
"966","V",1003,"1"
"967","C",10671,"10671"
"968","V",1035,"1"
"969","V",1037,"1"
"970","V",1009,"1"
"971","V",1017,"1"
"972","V",1001,"1"
"973","V",1003,"1"
"974","V",1004,"1"
"975","C",10678,"10678"
"976","V",1035,"1"
"977","V",1008,"1"
"978","V",1037,"1"
"979","V",1009,"1"
"980","V",1017,"1"
"981","V",1001,"1"
"982","V",1018,"1"
"983","V",1004,"1"
"984","C",10680,"10680"
"985","V",1025,"1"
"986","V",1038,"1"
"987","V",1295,"1"
"988","V",1026,"1"
"989","V",1041,"1"
"990","V",1004,"1"
"991","C",10686,"10686"
"992","V",1008,"1"
"993","V",1035,"1"
"994","V",1003,"1"
"995","V",1001,"1"
"996","V",1034,"1"
"997","V",1078,"1"
"998","V",1018,"1"
"999","C",10699,"10699"
"1000","V",1017,"1"
"1001","V",1076,"1"
"1002","V",1059,"1"
"1003","V",1078,"1"
"1004","V",1004,"1"
"1005","V",1008,"1"
"1006","V",1162,"1"
"1007","V",1001,"1"
"1008","V",1034,"1"
"1009","V",1028,"1"
"1010","C",10702,"10702"
"1011","V",1017,"1"
"1012","V",1004,"1"
"1013","V",1018,"1"
"1014","V",1008,"1"
"1015","V",1010,"1"
"1016","V",1093,"1"
"1017","V",1009,"1"
"1018","V",1003,"1"
"1019","V",1032,"1"
"1020","C",10706,"10706"
"1021","V",1017,"1"
"1022","V",1063,"1"
"1023","V",1078,"1"
"1024","V",1135,"1"
"1025","V",1099,"1"
"1026","V",1052,"1"
"1027","V",1060,"1"
"1028","V",1003,"1"
"1029","V",1001,"1"
"1030","C",10718,"10718"
"1031","V",1140,"1"
"1032","V",1007,"1"
"1033","V",1070,"1"
"1034","V",1034,"1"
"1035","V",1002,"1"
"1036","V",1004,"1"
"1037","C",10742,"10742"
"1038","V",1037,"1"
"1039","V",1030,"1"
"1040","V",1009,"1"
"1041","V",1017,"1"
"1042","V",1004,"1"
"1043","V",1074,"1"
"1044","C",10744,"10744"
"1045","V",1008,"1"
"1046","V",1035,"1"
"1047","V",1009,"1"
"1048","V",1095,"1"
"1049","V",1017,"1"
"1050","V",1163,"1"
"1051","V",1018,"1"
"1052","V",1004,"1"
"1053","V",1002,"1"
"1054","C",10752,"10752"
"1055","V",1081,"1"
"1056","V",1065,"1"
"1057","V",1020,"1"
"1058","V",1054,"1"
"1059","V",1131,"1"
"1060","V",1017,"1"
"1061","V",1132,"1"
"1062","V",1014,"1"
"1063","V",1018,"1"
"1064","V",1004,"1"
"1065","V",1000,"1"
"1066","V",1164,"1"
"1067","V",1038,"1"
"1068","V",1095,"1"
"1069","V",1011,"1"
"1070","V",1026,"1"
"1071","V",1031,"1"
"1072","V",1040,"1"
"1073","V",1134,"1"
"1074","C",10788,"10788"
"1075","V",1141,"1"
"1076","V",1010,"1"
"1077","V",1023,"1"
"1078","V",1144,"1"
"1079","V",1166,"1"
"1080","V",1072,"1"
"1081","C",10790,"10790"
"1082","V",1008,"1"
"1083","V",1016,"1"
"1084","V",1123,"1"
"1085","V",1038,"1"
"1086","V",1046,"1"
"1087","V",1026,"1"
"1088","V",1017,"1"
"1089","V",1041,"1"
"1090","V",1001,"1"
"1091","V",1034,"1"
"1092","V",1071,"1"
"1093","C",10791,"10791"
"1094","V",1008,"1"
"1095","V",1009,"1"
"1096","V",1076,"1"
"1097","V",1001,"1"
"1098","V",1004,"1"
"1099","V",1018,"1"
"1100","V",1167,"1"
"1101","V",1074,"1"
"1102","C",10793,"10793"
"1103","V",1008,"1"
"1104","V",1158,"1"
"1105","V",1009,"1"
"1106","V",1017,"1"
"1107","V",1001,"1"
"1108","V",1032,"1"
"1109","V",1024,"1"
"1110","V",1004,"1"
"1111","V",1034,"1"
"1112","C",10797,"10797"
"1113","V",1016,"1"
"1114","V",1168,"1"
"1115","V",1017,"1"
"1116","V",1169,"1"
"1117","V",1031,"1"
"1118","V",1040,"1"
"1119","V",1050,"1"
"1120","V",1001,"1"
"1121","C",10810,"10810"
"1122","V",1295,"1"
"1123","V",1076,"1"
"1124","V",1003,"1"
"1125","V",1001,"1"
"1126","V",1018,"1"
"1127","V",1004,"1"
"1128","C",10817,"10817"
"1129","V",1008,"1"
"1130","V",1009,"1"
"1131","V",1039,"1"
"1132","V",1137,"1"
"1133","V",1004,"1"
"1134","V",1067,"1"
"1135","V",1034,"1"
"1136","C",10818,"10818"
"1137","V",1081,"1"
"1138","V",1020,"1"
"1139","V",1017,"1"
"1140","V",1004,"1"
"1141","V",1010,"1"
"1142","V",1008,"1"
